,RB1,CDH1,PTEN,BRCA2,CDKN2A,TP53,CTNNB1,CCNE1,CCND1,CDH2,CDH3,ERBB2,ERBB3
TCGA-A2-A0T0-01,-0.17357,0.1043,-0.19493,0.10257000000000001,0.20099,-0.23306,-0.070587,-0.24468,-0.10697999999999999,-0.4405,0.21999000000000002,-0.14558,0.40185
TCGA-A2-A0T1-01,-0.17987999999999998,0.19924,0.40568000000000004,0.12709,0.026306,0.22923000000000002,-0.024939,-1.1189,-0.11582,-0.25083,-0.045593,4.0496,0.19844
TCGA-A2-A0T2-01,-0.090765,0.043533999999999996,-0.44708000000000003,-0.10786,1.3688,0.11982999999999999,-0.30614,0.32643,-0.11052000000000001,-0.3313,0.19702,-0.16843,-0.058367999999999996
TCGA-A2-A0T3-01,0.49407,-0.26539,0.28475,0.19566,-0.6805100000000001,-0.23231999999999997,-0.8154899999999999,-0.84265,0.47612,0.67415,0.048942,-0.43349,0.42071000000000003
TCGA-A2-A0T4-01,0.6369100000000001,-2.0081,-0.40221999999999997,-0.10082999999999999,0.93073,-1.1499,-1.2526,-0.73905,0.52431,0.60058,0.071151,0.2021,1.8507
TCGA-A2-A0T5-01,-0.11587,0.62703,0.34919,-0.043857,0.41966000000000003,0.00036159,0.13334000000000001,-0.91071,0.062165,-0.19802999999999998,-0.093904,0.66272,-0.055222
TCGA-A2-A0T6-01,0.18279,-2.9086,-0.081836,0.12963,-0.07077699999999999,-1.4817,-1.1201,-0.70986,0.20355,0.073301,0.041482,0.13864,0.17040999999999998
TCGA-A2-A0T7-01,0.25046999999999997,0.15554,0.57226,-0.075166,0.10063,-0.55712,-0.2767,-0.83626,0.24561,-0.014886000000000002,0.019875,0.077457,0.045065
TCGA-A2-A0YC-01,0.46188,-1.1137,-0.12240999999999999,0.28333,-1.1092,0.44442,-1.7287,-0.97629,0.49287,1.168,-0.21439,-0.17756,0.54022
TCGA-A2-A0YD-01,-0.08366799999999999,-2.7987,0.54368,-0.069719,0.78225,-0.23961,-1.5838,-1.0119,0.044976,-0.41161000000000003,-0.13404000000000002,0.17053,-0.23968000000000003
TCGA-A2-A0YF-01,0.71041,-0.5886100000000001,-1.0363,0.46353,-1.0954,0.21399,-0.91291,-0.84626,0.5765,1.2763,-0.10185,-0.13463,1.1644
TCGA-A2-A0YG-01,-0.07488099999999999,0.21686999999999998,0.17859,-0.16818,-0.037923,-0.20409000000000002,-0.28264,-0.42568,-0.065691,-0.027581,-0.07384199999999999,3.5669999999999997,0.097702
TCGA-A2-A0YH-01,-0.1711,0.21946999999999997,0.27192,0.042312,0.056909,0.22330999999999998,-0.33795,-0.7572300000000001,0.13273,-0.24416,-0.22398,0.57284,0.39086
TCGA-A2-A0YI-01,0.2644,0.81667,0.6822699999999999,-0.30215,1.1897,-1.7554,0.49091,-1.1193,0.19379000000000002,0.050119,0.038834,0.07977999999999999,0.018243000000000002
