,mRNA_RB1,DNA_RB1,mRNA_CDH1,DNA_CDH1,mRNA_PTEN,DNA_PTEN,mRNA_BRCA2,DNA_BRCA2,mRNA_CDKN2A,DNA_CDKN2A,mRNA_TP53,DNA_TP53,mRNA_CTNNB1,DNA_CTNNB1,mRNA_CCNE1,DNA_CCNE1,mRNA_CCND1,DNA_CCND1,mRNA_CDH2,DNA_CDH2,mRNA_CDH3,DNA_CDH3,mRNA_ERBB2,DNA_ERBB2,mRNA_ERBB3,DNA_ERBB3
TCGA-BH-A0H6-01,-0.5005867372501678,0.5561963209977303,-0.14649584821391712,-1.4102976696039542,0.35419590288100866,0.3557409339740599,-0.5928767846694322,0.3148969156067802,-0.3566025029056554,0.2551953584418328,0.02302376398799136,1.0424738676323124,-0.7066151433960023,0.31484991299318815,-0.3536291970457982,-0.1562604592512669,0.02547089118836718,-0.48840690062453257,-0.09238793357652698,0.002304808793742527,-0.5197952197974793,-1.4337712729127563,-0.30864540051703204,-0.30135696914972054,0.27527336464674274,-0.11661168878292162
TCGA-BH-A0H7-01,-0.248893538921284,0.16893351845579374,1.3378046774402386,1.1638851543576203,0.28663600419388013,-0.13731106999394738,-0.6929353272550188,-0.03348831701436394,-0.2094401288644759,-1.1133390675251622,-0.6537064113827223,-0.3258339600867152,-0.3263071029633395,-1.7822802920626226,-0.2120301088746362,0.2926914717470709,0.07355536530374968,-0.2266947552035434,0.04551156847836536,-1.0302495308029163,0.18985516071218528,1.1961079380097992,-0.3245078982955257,-0.008731007596532277,0.8180120512826762,2.3176809392949234
TCGA-BH-A0H9-01,1.4427261933059519,0.47189421432193457,1.9785225828094475,1.6212272804421641,-0.5948156779148108,-0.7749916617925704,-0.3144201879473428,0.23292391969592274,-0.45261941648122267,-0.542729798393161,0.3050665679888517,0.8959807744596604,0.5643853757349656,0.3473355788202145,-0.18101543272496398,-0.2941275876680793,-0.390289352343117,-0.4866143516832929,-0.18475621150494106,0.07472377831296521,-0.5495370316136012,1.6633453612701519,-0.28784580557304124,-0.34204756143670234,-0.4937381161552773,-1.4007892491022487
TCGA-BH-A0HA-01,0.4399734557577328,0.6036162560028654,1.2267781806581712,0.7091564118507027,0.5052466238025254,-0.04198768256013268,-0.8276659243061252,0.3610067258066375,-0.08350276543604615,-0.07418072374005423,-0.42962948207573537,-1.15492252995747,-0.8657418327676286,-2.0854798397815344,-0.2691466430156795,-0.2517069327705986,-0.23434463696068153,-0.5798268966277548,-0.05185628320589633,-0.21027990818204018,-0.4166538455796887,0.731540442882363,-0.2770885641947081,-0.30568575556322924,0.7146414152231971,-0.04958044250251719
TCGA-BH-A0HK-01,0.9214443373521044,0.5667340843322047,-0.3662268521045767,-1.2717883399897782,0.3795652866199249,0.3557409339740599,-0.708985740186634,0.34051347682892313,-0.2371497578616538,0.2760713073125157,-0.39224131899621545,-1.4385580933343072,-0.7686485186260531,0.3328975051193139,-0.35802993850695736,-0.23756671447143832,0.621732925507466,1.3794290961471845,-0.20633750409825533,-0.007039574370028138,-0.47969148253187,-1.2922650818681927,-0.24375747090380534,-0.33165847404428145,1.5837797405420486,-0.14130741109675482
TCGA-BH-A0HP-01,0.8630549435320019,0.572002965999442,-1.1674657607824015,-0.5923086098070275,-0.7031942558839542,-1.3765151066335393,-0.1546220607679822,0.330266852340066,-0.37177021539221045,0.26215400806539374,-0.4911274145021647,-0.5564826599755717,0.9270170072749314,0.3292879866940887,-0.3582477687314706,-0.1491903501016868,-0.36924166405317965,-0.46868886227089634,-0.19408794603814483,0.053698916194481215,-0.2096004668803394,-0.5980837673099545,-0.30067135135379064,-0.7454904551757132,0.5259268286629811,-0.08838800613854081
TCGA-BH-A0HU-01,-1.800748539394451,-2.2995375426448494,-0.243396725651607,-1.146345928263732,-0.7751519105580925,0.5332396554025426,-0.20559675132597424,0.04079971052985058,0.7631964063640974,0.3920488010385323,0.2723676715743592,-1.123753786729246,-1.031556817947479,-0.9196053884338121,0.1848117644568374,-0.30650027867984453,-0.6293772594162307,-0.3880241599151121,-0.15442934130152242,2.0206915721682073,-0.4375018761811461,-1.1641085314882105,-0.2756598999702189,-0.24508274577410738,0.005837035044691148,-0.15894721274949283
TCGA-BH-A0HW-01,-0.40962352666563356,0.5693685251658234,0.43061994322178415,-1.6533423423231688,-1.0775022078598135,-0.962351423300413,-0.29595667307499085,0.32770519621785166,-0.4072656105702057,0.28534950681059706,-0.5123595409735118,-1.9185567390489546,-0.5650969410562368,0.5061543895301209,-0.346427404834749,-0.3188729696916097,1.3467065729191359,-0.4543484707409791,-0.18498627082741623,0.20320904681481192,-0.6242024376338595,-1.6820745892739721,-0.021418807659438998,0.9513938189196979,-0.22830461954467487,-0.0460524821719696
TCGA-BH-A0HX-01,-0.33019363846767064,-0.560806592456563,0.5082472557662259,-0.3832379235969503,-0.34559252208861335,0.14865909230749685,-0.5211780361197085,-0.771245280212081,-0.1074029525766716,0.2366389594456701,0.20063745582589923,0.6871501948305605,-0.16757996233447242,0.7371635687445304,-0.322669417626094,-0.11914238621597127,0.9336151591366586,2.7910613873734103,-0.07965956299369195,-1.0419300097576296,-0.5013835445056402,-0.38448951667665043,-0.27671689007303096,-0.38879845470259633,0.37406587394242413,1.1075905459170963
TCGA-BH-A0HY-01,3.05937184142218,3.2459604121223373,0.4806616334471551,-0.7046841036449437,0.5631253453558034,0.29657469349789906,1.2680234689966545,3.0174441245428616,-0.06527301251919104,-0.9300946274380562,-0.37663329097614434,-2.5762172211644785,-0.6259012608303537,-1.6415090734788413,-0.2552487672700468,-0.6211201358361601,0.005555617084239267,2.7910613873734103,-0.06336273885350494,1.1212946926552803,-0.18520525853889783,-0.7128906770253552,3.2745689513984306,2.830952879665176,-0.4953617509803254,-0.14483537142730243
