,ascore,dscore,escore,fscore,ncbiTaxonId,nscore,preferredName_A,preferredName_B,pscore,score,stringId_A,stringId_B,tscore
3085,0.131,0.9,0.0,0.0,9606,0.0,CDH2,AFP,0.0,0.937,ENSP00000269141,ENSP00000379138,0.334
3086,0.0,0.0,0.0,0.0,9606,0.0,CDH2,CXCL12,0.0,0.537,ENSP00000269141,ENSP00000379140,0.537
3087,0.0,0.0,0.064,0.0,9606,0.0,CDH2,BMP7,0.0,0.433,ENSP00000269141,ENSP00000379204,0.42
3088,0.062,0.0,0.055,0.0,9606,0.0,CDH2,ITGB1,0.0,0.514,ENSP00000269141,ENSP00000379350,0.495
3089,0.0,0.9,0.0,0.0,9606,0.0,CDH2,ENAM,0.0,0.9,ENSP00000269141,ENSP00000379383,0.0
3090,0.0,0.0,0.052,0.0,9606,0.0,CDH2,ILK,0.0,0.476,ENSP00000269141,ENSP00000379975,0.47
3091,0.076,0.0,0.0,0.0,9606,0.0,CDH2,SNAI2,0.0,0.922,ENSP00000269141,ENSP00000380034,0.919
3092,0.0,0.0,0.0,0.0,9606,0.0,CDH2,SOX10,0.0,0.463,ENSP00000269141,ENSP00000380093,0.463
3093,0.068,0.0,0.134,0.0,9606,0.0,CDH2,WNT5B,0.0,0.437,ENSP00000269141,ENSP00000380379,0.358
3094,0.0,0.0,0.0,0.0,9606,0.0,CDH2,INS,0.0,0.51,ENSP00000269141,ENSP00000380432,0.51
3095,0.0,0.9,0.0,0.0,9606,0.0,CDH2,CDH24,0.0,0.902,ENSP00000269141,ENSP00000380517,0.035697
3096,0.0,0.9,0.0,0.0,9606,0.0,CDH2,CDH7,0.0,0.908,ENSP00000269141,ENSP00000381058,0.08802
3097,0.0,0.0,0.0,0.0,9606,0.0,CDH2,MAP2K7,0.0,0.472,ENSP00000269141,ENSP00000381070,0.472
3098,0.0,0.9,0.0,0.0,9606,0.0,CDH2,CST3,0.0,0.908,ENSP00000269141,ENSP00000381448,0.126
3099,0.062,0.9,0.472,0.0,9606,0.0,CDH2,CTNND1,0.0,0.983,ENSP00000269141,ENSP00000382004,0.71
3100,0.061,0.0,0.077,0.0,9606,0.0,CDH2,DLG4,0.0,0.534,ENSP00000269141,ENSP00000382428,0.505
3101,0.0,0.0,0.0,0.0,9606,0.0,CDH2,MRAP,0.0,0.475,ENSP00000269141,ENSP00000382684,0.475
3102,0.0,0.9,0.053,0.0,9606,0.0,CDH2,CDC42,0.0,0.957,ENSP00000269141,ENSP00000383118,0.589
3103,0.099,0.9,0.063,0.0,9606,0.0,CDH2,MATN3,0.0,0.908,ENSP00000269141,ENSP00000383894,0.0
3104,0.084,0.9,0.081,0.0,9606,0.0,CDH2,CTNNA2,0.0,0.964,ENSP00000269141,ENSP00000384638,0.626
3105,0.0,0.9,0.0,0.0,9606,0.0,CDH2,PDIA6,0.0,0.9,ENSP00000269141,ENSP00000385385,0.0
3106,0.0,0.9,0.0,0.0,9606,0.0,CDH2,IL6,0.0,0.945,ENSP00000269141,ENSP00000385675,0.477
3107,0.077,0.9,0.0,0.0,9606,0.0,CDH2,TF,0.0,0.905,ENSP00000269141,ENSP00000385834,0.056
3108,0.063,0.9,0.0,0.0,9606,0.0,CDH2,NUCB1,0.0,0.902,ENSP00000269141,ENSP00000385923,0.0
3109,0.088,0.9,0.063,0.0,9606,0.0,CDH2,LTBP1,0.0,0.92,ENSP00000269141,ENSP00000386043,0.179
3110,0.0,0.9,0.0,0.0,9606,0.0,CDH2,TGOLN2,0.0,0.902,ENSP00000269141,ENSP00000386443,0.064
3111,0.0,0.0,0.0,0.0,9606,0.0,CDH2,CXCR4,0.0,0.704,ENSP00000269141,ENSP00000386884,0.704
3112,0.0,0.0,0.053,0.0,9606,0.0,CDH2,ITGA6,0.0,0.406,ENSP00000269141,ENSP00000386896,0.399
3113,0.0,0.9,0.0,0.0,9606,0.0,CDH2,NOTUM,0.0,0.903,ENSP00000269141,ENSP00000387310,0.073
3114,0.049,0.0,0.0,0.0,9606,0.0,CDH2,ACAN,0.0,0.432,ENSP00000269141,ENSP00000387356,0.427
3115,0.083,0.0,0.0,0.0,9606,0.0,CDH2,AMOTL1,0.0,0.485,ENSP00000269141,ENSP00000387739,0.462
3116,0.074,0.9,0.0,0.0,9606,0.0,CDH2,LAMB2,0.0,0.904,ENSP00000269141,ENSP00000388325,0.047
3117,0.094,0.0,0.337,0.0,9606,0.0,CDH2,CTNNA3,0.0,0.576,ENSP00000269141,ENSP00000389714,0.35
3118,0.0,0.0,0.0,0.0,9606,0.0,CDH2,CYLD,0.0,0.491,ENSP00000269141,ENSP00000392025,0.491
3119,0.085,0.0,0.0,0.0,9606,0.0,CDH2,RELN,0.0,0.412,ENSP00000269141,ENSP00000392423,0.383
3120,0.158,0.0,0.0,0.0,9606,0.0,CDH2,NLGN1,0.0,0.509,ENSP00000269141,ENSP00000392500,0.441
3121,0.097,0.9,0.41,0.0,9606,0.0,CDH2,FGFR1,0.0,0.979,ENSP00000269141,ENSP00000393312,0.653
3122,0.104,0.9,0.0,0.0,9606,0.0,CDH2,AHSG,0.0,0.93,ENSP00000269141,ENSP00000393887,0.284
3123,0.052,0.9,0.0,0.0,9606,0.0,CDH2,C4A,0.0,0.901,ENSP00000269141,ENSP00000396688,0.046
3124,0.0,0.0,0.0,0.0,9606,0.0,CDH2,CD44,0.0,0.673,ENSP00000269141,ENSP00000398632,0.673
3125,0.0,0.0,0.092,0.0,9606,0.0,CDH2,TNF,0.0,0.43,ENSP00000269141,ENSP00000398698,0.398
3126,0.088,0.9,0.0,0.0,9606,0.0,CDH2,CYR61,0.0,0.927,ENSP00000269141,ENSP00000398736,0.269
3127,0.063,0.9,0.0,0.0,9606,0.0,CDH2,MXRA8,0.0,0.902,ENSP00000269141,ENSP00000399229,0.0
3128,0.0,0.9,0.053,0.0,9606,0.0,CDH2,RHOA,0.0,0.958,ENSP00000269141,ENSP00000400175,0.596
3129,0.0,0.0,0.082,0.0,9606,0.0,CDH2,CBLL1,0.0,0.44,ENSP00000269141,ENSP00000401277,0.415
